sample_id,f_low,f_high,c_low,c_high,mt_high
CONT_C_1,300,4200,500,16000,10
CONT_D_4,300,4500,500,17000,10
CONT_D_5,300,4500,500,17000,10
LC_1,300,6500,500,40000,10
LC_2,300,6500,500,40000,10
LC_4,300,6500,500,40000,10
LC_5,300,6500,500,40000,10
LC_7,300,6500,500,40000,10
LC_8,300,6500,500,40000,10
OR_A_2,300,4100,500,18000,10
OR_B_1,300,4200,500,17000,10
OR_B_3,300,4200,500,16000,10
OVA_F_1,300,6000,500,30000,10
OVA_F_3,300,6500,500,35000,10
OVA_M_3,300,6600,500,40000,10
PBS_F_1,300,6500,500,35000,10
PBS_F_2,300,6500,500,35000,10
PBS_M_2,300,6500,500,35000,10
